"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C13","0603_C","98.298mm","60.833mm","98.298mm","60.833mm","98.298mm","60.063mm","T","90.00","100nF (104) 10% 50V"
"P7","DC-005","114.744mm","102.922mm","117.094mm","106.022mm","117.094mm","99.822mm","T","90.00","Header 3"
"F1","SMD1812P260","104.648mm","104.866mm","104.648mm","107.116mm","104.648mm","107.116mm","T","270.00","SMD1812P260_FUSE"
"C3","HDR1X2","101.854mm","90.551mm","101.854mm","91.821mm","101.854mm","91.821mm","T","270.00","10uF"
"C2","8X12_CAP","108.331mm","96.901mm","108.331mm","96.901mm","108.331mm","98.651mm","T","270.00","220uF"
"Y2","SMD-5032_2P","92.71mm","73.043mm","92.71mm","73.043mm","92.71mm","75.093mm","T","270.00","8MHz"
"Y1","Y","114.808mm","59.055mm","114.808mm","59.055mm","114.808mm","61.505mm","T","270.00","12MHz"
"VR2","SOT-223","95.377mm","85.471mm","95.377mm","85.471mm","97.677mm","88.471mm","T","90.00","AMS1117-3.3"
"VR1","SOT-223","88.392mm","85.471mm","88.392mm","85.471mm","90.692mm","88.471mm","T","90.00","AMS1117-3.3"
"USB1","MicroUSB","122.625mm","51.8835mm","121.325mm","53.221mm","121.325mm","53.221mm","T","270.00","MicroUSB"
"U5","SOT-23-6","91.94mm","102.362mm","91.94mm","102.362mm","93.34mm","101.412mm","T","360.00","MP2359DJ-LF-Z"
"U4","LQFP-48_7x7x05P","105.684mm","72.63mm","105.684mm","72.63mm","101.634mm","75.38mm","T","270.00","STM32F030C8T6"
"U3","SOIC-16_150mil","104.648mm","59.055mm","104.648mm","59.055mm","100.203mm","56.455mm","T","360.00","CH340G"
"U2","SOIC-8_150mil","95.123mm","55.753mm","95.123mm","55.753mm","92.523mm","57.658mm","T","270.00","LM358DR2G"
"S1","TSW_SMD-3*6*2.5","90.922mm","64.1644mm","90.932mm","64.135mm","90.912mm","68.1308mm","T","270.00","SW-SPST"
"R29","0603_R","96.131mm","106.045mm","96.131mm","106.045mm","95.361mm","106.045mm","T","360.00","49.9K次 (4992) ㊣1%"
"R28","0603_R","96.131mm","104.267mm","96.131mm","104.267mm","95.361mm","104.267mm","T","360.00","7.5K次 (7501) ㊣1%"
"R27","0603_R","96.131mm","102.489mm","96.131mm","102.489mm","96.901mm","102.489mm","T","180.00","2K次 (2001) ㊣1%"
"R26","0603_R","91.94mm","105.029mm","91.94mm","105.029mm","91.17mm","105.029mm","T","360.00","100K次 (1003) ㊣1%"
"R25","0805_R","94.742mm","67.437mm","94.742mm","67.437mm","95.632mm","67.437mm","T","180.00","10K次 (1002) ㊣1%"
"R24","0603_R","102.87mm","64.516mm","102.87mm","64.516mm","102.87mm","65.286mm","T","270.00","100次 (1000) ㊣1%"
