"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"ESD1","SOD-523","242.57mm","15.1621mm","242.57mm","14.4621mm","242.57mm","14.4621mm","T","90.00","ESD5Z12T"
"P4","TP","289.179mm","13.7001mm","289.179mm","13.7001mm","289.179mm","13.7001mm","T","180.00","TP"
"P3","TP","291.719mm","13.7001mm","291.719mm","13.7001mm","291.719mm","13.7001mm","T","180.00","TP"
"P2","TP","284.099mm","13.5731mm","284.099mm","13.5731mm","284.099mm","13.5731mm","T","180.00","TP"
"P1","TP","286.639mm","13.5731mm","286.639mm","13.5731mm","286.639mm","13.5731mm","T","180.00","TP"
"Touch2","SO-16_N","375.158mm","14.8431mm","375.158mm","14.8431mm","370.713mm","12.4431mm","T","90.00","BS818A-2"
"Touch1","SO-16_N","142.494mm","14.8431mm","142.494mm","14.8431mm","138.049mm","12.4431mm","T","90.00","BS818A-2"
"LED16","WS2812","449.613mm","6.7051mm","452.113mm","9.2051mm","452.113mm","5.0551mm","T","180.00","WS2812B"
"LED15","WS2812","421.5554mm","6.7051mm","424.0554mm","9.2051mm","424.0554mm","5.0551mm","T","180.00","WS2812B"
"LED14","WS2812","393.4979mm","6.7051mm","395.9979mm","9.2051mm","395.9979mm","5.0551mm","T","180.00","WS2812B"
"LED13","WS2812","365.4404mm","6.7051mm","367.9404mm","9.2051mm","367.9404mm","5.0551mm","T","180.00","WS2812B"
"LED12","WS2812","337.3828mm","6.7051mm","339.8828mm","9.2051mm","339.8828mm","5.0551mm","T","180.00","WS2812B"
"LED11","WS2812","309.3253mm","6.7051mm","311.8253mm","9.2051mm","311.8253mm","5.0551mm","T","180.00","WS2812B"
"LED10","WS2812","281.2678mm","6.7051mm","283.7678mm","9.2051mm","283.7678mm","5.0551mm","T","180.00","WS2812B"
"LED9","WS2812","253.2103mm","6.7051mm","255.7103mm","9.2051mm","255.7103mm","5.0551mm","T","180.00","WS2812B"
"LED8","WS2812","225.1527mm","6.7051mm","227.6527mm","9.2051mm","227.6527mm","5.0551mm","T","180.00","WS2812B"
"LED7","WS2812","197.0952mm","6.7051mm","199.5952mm","9.2051mm","199.5952mm","5.0551mm","T","180.00","WS2812B"
"LED6","WS2812","169.0377mm","6.7051mm","171.5377mm","9.2051mm","171.5377mm","5.0551mm","T","180.00","WS2812B"
"LED5","WS2812","140.9801mm","6.7051mm","143.4801mm","9.2051mm","143.4801mm","5.0551mm","T","180.00","WS2812B"
"LED4","WS2812","112.9226mm","6.7051mm","115.4226mm","9.2051mm","115.4226mm","5.0551mm","T","180.00","WS2812B"
"LED3","WS2812","84.8651mm","6.7051mm","87.3651mm","9.2051mm","87.3651mm","5.0551mm","T","180.00","WS2812B"
"LED2","WS2812","56.8075mm","6.7051mm","59.3075mm","9.2051mm","59.3075mm","5.0551mm","T","180.00","WS2812B"
"LED1","WS2812","28.75mm","6.7051mm","31.25mm","9.2051mm","31.25mm","5.0551mm","T","180.00","WS2812B"
"Key16","SPRING_TOUCH","466.217mm","4.8101mm","466.217mm","4.8101mm","466.217mm","4.8101mm","T","90.00","TP"
