"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R6","0603_R","78.9309mm","52.7689mm","78.9309mm","52.7689mm","78.1609mm","52.7689mm","T","360.00","10K次 (1002) ㊣1%"
"R5","0603_R","78.8039mm","50.8639mm","78.8039mm","50.8639mm","78.0339mm","50.8639mm","T","360.00","1K次 (1001) ㊣1%"
"R4","0603_R","76.2639mm","61.5319mm","76.2639mm","61.5319mm","75.4939mm","61.5319mm","T","360.00","470次 (4700) ㊣1%"
"R2","0603_R","79.5659mm","57.8489mm","79.5659mm","57.8489mm","80.3359mm","57.8489mm","T","180.00","470次 (4700) ㊣1%"
"Q1","SOT-23(SOT-23-3)","79.0579mm","55.3089mm","79.0579mm","55.3089mm","77.8079mm","56.2589mm","T","180.00","SS8050 Y1"
"D2","0603_LED_S1","79.6929mm","59.7539mm","79.6929mm","59.7539mm","80.4629mm","59.7539mm","T","360.00","酴腑 0603"
"D1","0603_LED_S1","77.0259mm","58.6109mm","77.0259mm","58.6109mm","77.0259mm","57.8409mm","T","270.00","蟯腑 0603"
"Touch1","TP","73.8579mm","75.1209mm","73.3429mm","75.1209mm","73.8579mm","75.1209mm","B","90.00","TP"
"T1","SOT-23-6","71.9459mm","58.4839mm","71.9459mm","58.4839mm","73.3459mm","57.5339mm","T","360.00","TTP223"
"R3","0603_R","68.2629mm","59.4999mm","68.2629mm","59.4999mm","69.0329mm","59.4999mm","T","180.00","NC"
"R1","0603_R","68.2629mm","57.5949mm","68.2629mm","57.5949mm","69.0329mm","57.5949mm","T","180.00","NC"
"P1","FPC1.0-2H-WS-4P","71.8189mm","54.3104mm","71.8189mm","53.0229mm","70.3189mm","55.5979mm","T","360.00","Header 4"
"C2","0603_C","68.2629mm","61.2779mm","68.2629mm","61.2779mm","67.4929mm","61.2779mm","T","360.00","100nF (104) 10% 50V"
"C1","0603_C","75.2479mm","58.6109mm","75.2479mm","58.6109mm","75.2479mm","57.8409mm","T","90.00","10pF (100) 5% 50V"
"R6","0603_R","96.0587mm","52.7689mm","96.0586mm","52.7689mm","95.2887mm","52.7689mm","T","360.00","10K次 (1002) ㊣1%"
"R5","0603_R","95.9317mm","50.8639mm","95.9316mm","50.8639mm","95.1616mm","50.8639mm","T","360.00","1K次 (1001) ㊣1%"
"R4","0603_R","93.3916mm","61.5319mm","93.3916mm","61.5319mm","92.6217mm","61.5319mm","T","360.00","470次 (4700) ㊣1%"
"R2","0603_R","96.6936mm","57.8489mm","96.6936mm","57.8489mm","97.4636mm","57.8489mm","T","180.00","470次 (4700) ㊣1%"
"Q1","SOT-23(SOT-23-3)","96.1856mm","55.3089mm","96.1856mm","55.3089mm","94.9356mm","56.2589mm","T","180.00","SS8050 Y1"
"D2","0603_LED_S1","96.8207mm","59.7539mm","96.8206mm","59.7539mm","97.5906mm","59.7539mm","T","360.00","酴腑 0603"
"D1","0603_LED_S1","94.1536mm","58.6109mm","94.1536mm","58.6109mm","94.1536mm","57.8409mm","T","270.00","蟯腑 0603"
"Touch1","TP","90.9856mm","75.1209mm","90.4706mm","75.1209mm","90.9856mm","75.1209mm","B","90.00","TP"
"T1","SOT-23-6","89.0737mm","58.4839mm","89.0736mm","58.4839mm","90.4737mm","57.5339mm","T","360.00","TTP223"
"R3","0603_R","85.3906mm","59.4999mm","85.3906mm","59.4999mm","86.1606mm","59.4999mm","T","180.00","NC"
"R1","0603_R","85.3906mm","57.5949mm","85.3906mm","57.5949mm","86.1606mm","57.5949mm","T","180.00","NC"
"P1","FPC1.0-2H-WS-4P","88.9466mm","54.3104mm","88.9466mm","53.0229mm","87.4466mm","55.5979mm","T","360.00","Header 4"
"C2","0603_C","85.3906mm","61.2779mm","85.3906mm","61.2779mm","84.6206mm","61.2779mm","T","360.00","100nF (104) 10% 50V"
"C1","0603_C","92.3756mm","58.6109mm","92.3756mm","58.6109mm","92.3756mm","57.8409mm","T","90.00","10pF (100) 5% 50V"

